,sigmaritan,artistName,trackName,msPlayed,duration,minutes
0,marius_sclearuc,Godspeed You! Black Emperor,Storm,1303115,1352413.0,22.540216666666666
5,marius_sclearuc,Rush,2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,1233666,1233667.0,20.561116666666667
6,andreea_covalevschi,Buckethead,The Left Panel,1106050,1157700.0,19.295
7,marius_sclearuc,MONO,Requiem for Hell,1068453,1068453.0,17.80755
8,marius_sclearuc,We Lost The Sea,The Last Dive of David Shaw,967356,1016600.0,16.94333333333333
10,marius_sclearuc,Yndi Halda,Dash And Blast,1447224,1011280.0,16.854666666666667
11,andreea_covalevschi,Iced Earth,Dante's Inferno,986826,986827.0,16.447116666666666
12,andreea_covalevschi,TOOL,7empest,900584,943529.0,15.725483333333333
27,marius_sclearuc,The Seven Mile Journey,Through The Alter Ego Justifications,927653,927653.0,15.460883333333333
28,marius_sclearuc,We Lost The Sea,Towers,903680,903680.0,15.061333333333334
29,andreea_covalevschi,Phoenix,Negru Vodă-Baladă,896373,896373.0,14.93955
40,marius_sclearuc,Summer Fades Away,Yuhua Pavilion,890369,890369.0,14.839483333333334
42,andreea_covalevschi,S.O.D. Stormtroopers of Death,Crab Society North Demos,888453,888453.0,14.80755
43,andreea_covalevschi,Nick Cave & The Bad Seeds,"Babe, I'm On Fire",813830,886387.0,14.773116666666667
44,elena_timbur,Franz Schubert,"6 Grandes Marches, Op. 40, D. 819: No. 5 in E-Flat Minor",869909,870120.0,14.502
45,nicolae_gherman,Richard Wagner,Tannhäuser: Overture,853826,853827.0,14.23045
53,marius_sclearuc,Yndi Halda,Golden Threads from the Sun,852000,852000.0,14.2
54,marius_sclearuc,The Evpatoria Report,Prognoz,840026,840027.0,14.00045
56,vasile_papaluta,Fearless Motivation,Finding Your Purpose,821033,821034.0,13.6839
75,andreea_covalevschi,Pink Floyd,"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remaster",811077,810293.0,13.504883333333334
76,nicolae_gherman,Pink Floyd,"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remaster",811077,810293.0,13.504883333333334
77,irina_tiora,Pink Floyd,"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remaster",735642,810293.0,13.504883333333334
78,marius_sclearuc,Industries of the Blind,Waiting and Waltzing in Airport Terminals,786038,786038.0,13.100633333333333
80,marius_sclearuc,Industries of the Blind,I Just Wanted to Make You Something Beautiful,782128,782129.0,13.035483333333334
82,andreea_covalevschi,Sur Austru,Cel Din Urmă,782000,782000.0,13.033333333333333
100,andreea_covalevschi,Jaco Pastorius,Broadway Blues,778251,778252.0,12.970866666666666
104,marius_sclearuc,Red Hot Chili Peppers,Song That Made Us What We Are Today,776200,776200.0,12.936666666666667
105,andreea_covalevschi,Negură Bunget,Tesarul de Lumini,768240,768240.0,12.804
113,marius_sclearuc,甜梅號,月娘總是照著我們,752960,752960.0,12.549333333333333
124,andreea_covalevschi,David Gilmour,Shine On You Crazy Diamond (Pts. 1-5) - Live At Pompeii 2016,752933,752933.0,12.548883333333333
125,marius_sclearuc,Pink Floyd,"Shine On You Crazy Diamond, Pts. 6-9 - 2011 Remaster",747325,743987.0,12.399783333333334
127,marius_sclearuc,MONO,Hold Infinity in the Palm of Your Hand,741840,741840.0,12.364
131,andreea_covalevschi,Monolord,Empress Rising,739447,739447.0,12.324116666666667
132,marius_sclearuc,ef,Hello Scotland,739400,739400.0,12.323333333333334
135,marius_sclearuc,MONO,Legend,717240,717240.0,11.954
137,nicolae_gherman,TOOL,Pneuma,713191,713192.0,11.886533333333333
142,marius_sclearuc,Avalon,Primavera,712799,712799.0,11.879983333333334
143,arina_coroliuc,Johann Strauss II,"An der schönen blauen Donau, Op. 314",707173,707173.0,11.786216666666666
145,andreea_covalevschi,The Doors,The End,703373,703373.0,11.722883333333334
151,marius_sclearuc,We Lost The Sea,Bogatyri,700893,700893.0,11.68155
176,marius_sclearuc,Leech,Herbstmonster,681422,686707.0,11.445116666666667
177,elena_timbur,Johann Sebastian Bach,"Partita No. 4 in D Major, BWV 828: II. Allemande",679453,679453.0,11.324216666666667
178,andreea_covalevschi,Type O Negative,Black No. 1 (Little Miss Scare -All),663430,675653.0,11.260883333333334
196,nicolae_gherman,Oni Ayhun,OAR003-B - Original Mix,674377,674377.0,11.239616666666667
203,andreea_covalevschi,TOOL,"10,000 Days (Wings Pt 2)",673773,673773.0,11.22955
216,marius_sclearuc,Maïak,"I Am Not a Man, I Am a Free Number",644765,672187.0,11.203116666666666
217,andreea_covalevschi,TOOL,Rosetta Stoned,671360,671360.0,11.189333333333334
222,andreea_covalevschi,Led Zeppelin,In My Time of Dying - Remaster,668440,668441.0,11.140683333333333
225,andreea_covalevschi,TOOL,Reflection,667960,667960.0,11.132666666666667
228,andreea_covalevschi,Exodus,Architect Of Pain,661786,661787.0,11.029783333333333
231,nicolae_gherman,Modest Mussorgsky,Night on Bald Mountain,700026,660867.0,11.01445
236,marius_sclearuc,L'Effondras,Ce que revele l'eclipse,660645,660646.0,11.010766666666667
237,marius_sclearuc,The Evpatoria Report,Taijin Kyofusho,660200,660200.0,11.003333333333334
238,marius_sclearuc,Summer Fades Away,Thanks,653316,653317.0,10.888616666666667
239,andreea_covalevschi,Sur Austru,Taina,650153,650153.0,10.835883333333333
243,andreea_covalevschi,Jaco Pastorius,Jaco Reggae,649038,649038.0,10.8173
247,vasile_papaluta,Lil Dicky,Pillow Talking (feat. Brain),645876,645876.0,10.7646
254,arina_coroliuc,Sergei Rachmaninoff,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",644272,644273.0,10.737883333333333
255,andreea_covalevschi,Buckethead,Strips of Paper,639002,639003.0,10.65005
